datetime,Temperature,Humidity,CPU Percent,Memory usage,Bytes sent,Bytes received,Packets sent,Packets received,CPU Temperature
2023-04-03 20:51:10.279977,24.2,49.8,80.9,62.9,46.78972244262695,125.96948719024658,117433,181079,52.616
2023-04-03 20:51:15.288686,24.2,49.6,34.9,61.7,46.82358360290527,125.97755813598633,117475,181118,51.54
2023-04-03 20:51:20.298283,24.3,49.5,30.3,62.5,46.89474868774414,125.99054336547852,117618,181298,51.54
2023-04-03 20:51:25.307296,24.3,49.6,40.2,62.4,46.96672534942627,125.99760246276855,117715,181400,52.616
2023-04-03 20:51:30.318417,24.3,49.5,39.4,62.9,46.99334907531738,125.99861335754395,117741,181419,51.54
2023-04-03 20:51:35.325504,24.2,49.5,36.5,62.2,47.019975662231445,125.99971580505371,117763,181440,52.078
2023-04-03 20:51:40.337093,24.2,49.5,75.7,65.1,47.06785011291504,126.00678730010986,117823,181484,53.692
2023-04-03 20:51:45.346433,24.3,49.6,82.9,68.7,47.097673416137695,126.01179599761963,117873,181525,54.23
2023-04-03 20:51:50.355534,24.2,49.7,90.0,71.2,47.164846420288086,127.18691635131836,118338,182562,55.844
2023-04-03 20:51:55.365099,24.4,49.7,95.0,73.6,47.20914554595947,127.19663524627686,118451,182707,56.382
2023-04-03 20:52:00.374488,24.3,49.7,89.8,75.3,47.26236820220947,127.21450996398926,118579,182882,56.382
2023-04-03 20:52:05.384294,24.2,49.7,98.0,75.7,47.28204822540283,127.22393608093262,118682,183010,57.458
2023-04-03 20:52:10.393804,24.2,49.6,91.1,73.5,47.35038089752197,127.31575775146484,118899,183239,57.996
2023-04-03 20:52:15.403133,24.3,49.6,95.0,74.3,47.475762367248535,129.17475509643555,119411,184794,57.996
2023-04-03 20:52:20.411496,24.3,49.5,97.8,77.7,47.534193992614746,129.24113655090332,119606,184986,57.996
2023-04-03 20:52:25.422046,24.3,49.6,95.0,81.2,47.61800289154053,129.27335166931152,119797,185219,57.996
2023-04-03 20:52:30.430100,24.2,49.6,85.3,76.5,47.66606616973877,129.2957010269165,119954,185445,57.458
2023-04-03 20:52:35.439968,24.2,49.5,92.0,76.5,47.77645683288574,129.36194229125977,120105,185643,57.996
2023-04-03 20:52:40.449048,24.3,49.7,80.4,77.5,47.83390522003174,129.48268032073975,120314,185925,57.458
2023-04-03 20:52:45.459127,24.2,49.5,85.4,77.3,47.93181133270264,134.64032173156738,121526,189809,57.996
2023-04-03 20:52:50.469061,24.3,49.5,94.6,79.0,47.99155044555664,136.99310684204102,121940,191622,58.534
2023-04-03 20:52:55.477859,24.2,49.6,96.4,80.5,48.0927677154541,137.2623815536499,122322,192087,58.534
2023-04-03 20:53:00.487071,24.3,49.5,95.5,79.3,48.15377712249756,137.33269596099854,122524,192286,57.996
2023-04-03 20:53:05.498343,24.3,49.5,93.2,82.6,48.18180274963379,137.46070098876953,122669,192447,59.072
2023-04-03 20:53:10.505920,24.3,49.5,91.1,80.9,48.21399211883545,137.4804630279541,122795,192627,59.072
2023-04-03 20:53:15.964277,24.3,49.5,91.7,82.5,48.229990005493164,137.49758434295654,122900,192748,59.61
2023-04-03 20:53:20.525762,24.2,49.6,63.2,80.8,48.30869483947754,137.5791711807251,122939,192796,57.996
2023-04-03 20:53:25.535510,24.2,49.7,84.6,82.7,48.48521900177002,137.58708000183105,123101,192922,59.072
2023-04-03 20:53:30.543833,24.2,49.6,84.5,82.6,48.53147506713867,137.6008176803589,123209,193059,57.996
2023-04-03 20:53:35.553971,24.3,49.6,91.0,82.9,48.61263465881348,137.97436428070068,123437,193433,58.534
2023-04-03 20:53:40.563024,24.2,49.5,63.0,82.1,48.63074207305908,137.98725509643555,123614,193605,57.996
